"","X","stna","lat","long","country","lab","open"
"1",1,"Aldergrove",54.6636,-6.22436,"NI","Aldergrove_16","Aldergrove_2003_2018"
"2",5,"Athenry",53.287,-8.785,"IE","Athenry_8","Athenry_2011_2018"
"3",6,"Ballyhaise",54.051,-7.306,"IE","Ballyhaise_15","Ballyhaise_2004_2018"
"4",7,"Ballykelly",55.0573,-7.00725,"NI","Ballykelly_10","Ballykelly_2003_2012"
"5",9,"Ballywatticock",54.5721,-5.65603,"NI","Ballywatticock_16","Ballywatticock_2003_2018"
"6",12,"Belmullet",54.223,-10.004,"IE","Belmullet_16","Belmullet_2003_2018"
"7",13,"Birr",53.087,-7.887,"IE","Birr_7","Birr_2003_2009"
"8",15,"Casement",53.303,-6.437,"IE","Casement_16","Casement_2003_2018"
"9",16,"Castlederg",54.707,-7.57668,"NI","Castlederg_16","Castlederg_2003_2018"
"10",17,"Claremorris",53.707,-8.989,"IE","Claremorris_16","Claremorris_2003_2018"
"11",18,"Clones",54.183,-7.233,"IE","Clones_7","Clones_2003_2011"
"12",21,"Derrylin",54.1508,-7.57431,"NI","Derrylin_5","Derrylin_2003_2007"
"13",22,"Derrylin Cornahoule",54.1891,-7.56057,"NI","Derrylin Cornahoule_9","Derrylin Cornahoule_2010_2018"
"14",24,"Dunsany",53.51,-6.656,"IE","Dunsany_13","Dunsany_2006_2018"
"15",25,"Finner",54.49,-8.239,"IE","Finner_16","Finner_2003_2018"
"16",28,"Gurteen",53.052,-8.005,"IE","Gurteen_12","Gurteen_2007_2018"
"17",31,"JohnstownII",52.292,-6.491,"IE","JohnstownII_15","JohnstownII_2004_2018"
"18",32,"Katesbridge",54.2966,-6.11019,"NI","Katesbridge_16","Katesbridge_2003_2018"
"19",33,"Kilkenny",52.659,-7.268,"IE","Kilkenny_6","Kilkenny_2003_2008"
"20",36,"Knock Airport",53.904,-8.817,"IE","Knock Airport_16","Knock Airport_2003_2018"
"21",38,"Mace Head",53.322,-9.901,"IE","Mace Head_13","Mace Head_2006_2018"
"22",39,"Magilligan No 2",55.1604,-6.94835,"NI","Magilligan No 2_8","Magilligan No 2_2011_2018"
"23",40,"Malin head",55.372,-7.339,"IE","Malin head_16","Malin head_2003_2018"
"24",41,"Markree",54.172,-8.453,"IE","Markree_12","Markree_2007_2018"
"25",42,"Moore Park",52.158,-8.258,"IE","Moore Park_16","Moore Park_2003_2018"
"26",44,"Mt Dillon",53.723,-7.975,"IE","Mt Dillon_13","Mt Dillon_2006_2018"
"27",45,"Mullingar",53.536,-7.357,"IE","Mullingar_16","Mullingar_2003_2018"
"28",47,"Newport",53.92,-9.57,"IE","Newport_15","Newport_2004_2018"
"29",49,"Oak Park",52.857,-6.909,"IE","Oak Park_16","Oak Park_2003_2018"
"30",51,"PhoenixPark",53.358,-6.342,"IE","PhoenixPark_12","PhoenixPark_2007_2018"
"31",53,"Roches Point",51.789,-8.24,"IE","Roches Point_16","Roches Point_2003_2018"
"32",54,"Rosslare",52.25,-6.334,"IE","Rosslare_5","Rosslare_2003_2007"
"33",56,"Shannon Airport",52.687,-8.917,"IE","Shannon Airport_16","Shannon Airport_2003_2018"
"34",61,"Valentia Observatory",51.936,-10.238,"IE","Valentia Observatory_16","Valentia Observatory_2003_2018"
